clienteid,produtoid,distribuidorid,dataid,quantidadevendida,faturamento,custofrete
37,55,14,1339,58,4015.97,368.64
17,54,5,2,43,3515.06,15.17
43,88,24,1057,43,501.01,20.62
31,65,26,1054,100,7917.79,468.17
40,57,15,278,69,6132.71,327.38
43,73,12,1564,10,531.90,34.73
17,34,28,111,8,57.87,5.72
7,48,29,1629,87,1225.04,74.72
10,53,9,1538,50,4711.37,150.12
5,52,26,308,14,276.09,13.83
45,74,20,325,92,6382.57,513.99
23,16,1,497,62,6010.98,52.46
3,84,16,940,89,5602.88,440.07
13,77,15,1620,95,2082.20,131.87
22,3,28,131,61,4840.75,4.37
9,87,28,1599,43,4243.82,224.70
32,23,8,1520,37,774.45,25.61
49,69,3,232,56,5352.70,384.91
48,10,11,222,76,6301.88,447.46
29,61,15,220,60,3199.50,175.34
24,1,3,548,12,714.92,5.83
44,70,2,376,25,496.29,19.14
48,5,2,1322,42,3894.95,97.08
23,19,10,1648,30,565.10,21.63
19,7,7,585,69,3000.35,94.15
16,26,8,396,87,4157.87,165.64
39,79,25,1469,52,1715.59,123.35
35,26,28,1780,58,3342.57,50.51
15,7,10,645,35,2536.91,239.45
5,29,28,797,93,1325.25,13.11
21,55,19,236,14,928.36,19.98
12,25,29,83,23,394.84,27.11
2,23,24,224,28,1277.44,70.94
45,79,26,1160,24,1935.34,48.45
18,87,30,82,69,1998.14,83.43
4,36,9,995,43,4036.60,350.97
34,11,19,1043,41,1942.09,129.51
2,67,23,821,60,5180.78,75.70
23,37,7,1132,80,2184.50,54.69
23,25,9,274,65,4147.70,55.62
43,97,2,1059,90,4293.03,290.92
10,13,22,939,91,3594.35,53.35
1,71,25,1402,13,630.24,59.38
34,99,8,1797,21,867.35,17.89
14,44,19,1743,23,456.22,27.86
27,96,30,996,97,8782.94,769.04
29,96,22,357,16,437.96,1.28
43,49,25,332,89,6069.71,211.45
31,27,27,1740,100,8738.98,269.48
39,61,22,187,67,1264.09,44.80
16,97,8,193,90,645.64,8.20
31,65,5,706,51,2868.32,113.85
12,20,30,1571,73,1814.52,22.60
19,61,14,1491,70,3495.21,263.61
20,70,14,1337,62,3547.88,291.69
41,84,7,480,51,577.90,5.91
39,21,9,1132,29,2410.88,182.24
46,6,26,44,72,6795.05,318.25
50,6,12,575,85,937.71,61.86
8,98,7,970,78,2199.43,141.83
43,9,10,372,23,1179.47,59.46
33,33,28,135,86,3739.96,370.11
48,46,29,42,40,3648.22,206.92
44,16,15,601,19,32.17,1.28
20,28,12,462,81,1108.47,52.57
27,31,24,365,85,4293.57,428.37
48,87,19,547,48,1277.57,80.81
30,31,29,434,91,4975.41,111.42
26,1,21,505,75,5488.26,300.02
11,66,25,1724,79,173.15,14.44
41,57,13,983,91,8410.37,599.52
25,68,1,833,22,116.70,6.40
24,32,19,1108,45,4376.23,339.60
10,32,1,436,8,533.33,23.80
24,62,27,878,12,781.53,74.18
37,8,3,1598,17,1452.26,56.06
47,57,18,625,68,3413.90,190.45
29,6,2,950,65,3149.49,237.80
17,64,1,532,12,705.47,5.74
46,3,3,1623,32,158.68,6.72
22,52,19,666,65,2397.17,165.12
13,57,15,603,3,104.41,1.12
14,95,15,899,5,193.53,15.76
34,20,27,115,10,651.00,38.92
25,57,28,1330,27,1769.87,132.63
28,56,10,156,94,2524.16,187.73
41,37,28,444,8,456.63,24.49
37,43,30,1750,78,1345.49,22.99
2,85,23,1342,99,9353.58,508.09
32,80,16,689,25,525.24,52.48
47,19,22,27,69,4765.26,261.24
25,42,18,149,33,1340.28,1.87
8,50,26,247,62,1898.33,68.71
44,73,14,1444,34,380.72,26.28
3,86,8,1404,73,379.66,23.30
46,26,21,1594,28,2034.31,44.34
46,81,17,1040,43,3741.94,167.87
4,96,18,786,54,1550.37,2.20
2,89,12,44,52,4346.71,59.35
11,76,8,383,15,1316.15,116.88
37,73,13,1499,1,6.76,0.02
40,25,13,118,60,1492.46,115.22
18,61,13,504,58,3601.94,284.59
11,78,9,700,90,5783.25,192.70
40,51,25,352,94,960.52,56.16
22,53,13,1049,70,6368.31,159.80
5,93,19,306,30,1185.96,52.44
15,29,21,1258,66,3250.41,171.65
6,86,10,425,69,2397.37,124.01
48,21,9,1343,27,1929.46,108.78
27,74,13,489,59,4366.50,387.95
3,30,27,1618,90,4528.18,47.25
48,62,2,1468,58,3016.85,76.50
45,36,23,1615,65,5592.16,100.41
31,16,22,878,78,1028.00,35.08
45,40,4,81,59,1333.71,73.78
3,100,16,797,29,2613.17,197.09
31,75,21,130,31,1641.27,79.01
4,47,1,230,53,3832.96,108.53
4,49,13,107,16,484.56,40.17
18,4,12,286,12,759.40,37.01
38,18,23,1657,3,51.86,1.40
47,50,25,1325,87,4276.96,42.78
6,8,13,72,7,209.85,13.16
37,81,14,1106,82,6551.04,416.60
3,42,10,335,69,4003.56,188.59
50,2,6,1045,71,859.88,2.70
46,56,12,1292,74,1409.60,123.63
39,68,25,834,79,703.81,64.45
48,10,13,167,25,2097.01,138.94
4,68,20,1814,15,816.94,51.75
5,13,5,1387,41,241.61,11.94
1,37,7,1717,74,5746.03,263.46
5,77,22,1540,69,1366.03,49.51
8,11,26,1474,23,1827.46,35.20
44,43,3,140,47,344.67,24.92
42,90,17,1368,42,1618.26,36.47
33,94,8,1155,59,2348.06,166.54
